id,location_lat,location_lon,city_id,city_name_ar,city_name_en,region_id,region_key,region_name_ar,region_name_en,region_order_sequence,availability,available_units_count,available_units_for_auctions_count,basement,bookable,city_order_sequence,delegated_by_broker,developer_name,driver_room,elevator,group_unit_id,maid_room,max_area,max_bathroom,max_bed_room,max_price,max_street_width,max_unit_age,min_area,min_bathroom,min_bed_room,min_price,min_street_width,min_unit_age,pool,project_name,project_type,promoted,publish,publish_date,resource_id,resource_type,subsidizable,type,under_construction_status,unit_types_0,unit_types_1,unit_types_2,use_register_interest_flag,views_count
project_700,22.4611687,39.1064594901,3768,مدينة الملك عبدالله الاقتصادية,King Abdullah Economic City,2,makkah,مكة المكرمة,Makkah,0,1,9,9,0,0,0,0,شركة اعمار المدينة الاقتصادية,0,0,0,0,323.6,0,4,1294077.2,0,0,69.5,0,1,421192.85,0,0,0,مدينة الملك عبدالله الاقتصادية - الواحة,readymade_private_land,0,1,2021-10-28,700,projects,1,marketplaces,construction_completed,apartment,townhouse,villa,0,12638
project_696,22.4915935,39.1059594901,3768,مدينة الملك عبدالله الاقتصادية,King Abdullah Economic City,2,makkah,مكة المكرمة,Makkah,0,1,89,89,0,0,0,0,شركة اعمار المدينة الاقتصادية,0,0,0,0,163.2,0,4,693628,0,0,62.14,0,1,279660,0,0,0,مدينة الملك عبدالله الاقتصادية - الشروق,readymade_private_land,0,1,2021-10-28,696,projects,1,marketplaces,construction_completed,apartment,,,0,2582
project_698,0,22.442067839,3768,مدينة الملك عبدالله الاقتصادية,King Abdullah Economic City,2,makkah,مكة المكرمة,Makkah,0,1,230,0,0,1,0,0,شركة اعمار المدينة الاقتصادية,0,0,0,0,793.9,0,1,621428,0,0,280,0,1,265650,0,0,0,مدينة الملك عبدالله الاقتصادية - التالة جاردنز,lands_private_land,0,1,2021-10-28,698,projects,0,marketplaces,,land,,,0,35390
project_732,21.760861,39.09375,57,جدة,JEDDAH,2,makkah,مكة المكرمة,Makkah,0,1,9,0,0,1,0,0,سعيد مسفر الغامدي للتطوير العقاري,0,0,0,0,345,0,7,2200000,0,0,345,0,7,2200000,0,0,0,نجمة الصفوة - جدة,readymade_private_land,0,1,2021-10-28,732,projects,1,marketplaces,construction_completed,villa,,,0,36902
project_106,21.576123,39.239075,57,جدة,JEDDAH,2,makkah,مكة المكرمة,Makkah,0,1,14,0,0,1,0,0,سندس العقارية,0,0,0,0,199.6,0,3,858280,0,0,134.8,0,2,403052,0,0,0,أبراج بوابة التحلية - جدة,offplan_private_land,1,1,2021-10-27,106,projects,1,marketplaces,under_construction,apartment,,,0,33337
project_986,23.476689,44.373787,1603,القويعية,"QUWAY'IYAH",1,riyadh,الرياض,Riyadh,0,1,127,0,0,1,0,0,,0,0,0,0,547.56,0,1,0,0,0,340,0,1,0,0,0,0,مخطط 139 القويعية,lands_moh_land,0,1,2022-06-30,986,projects,1,marketplaces,,land,,,0,6091
project_710,24.813338,46.7861705,14,الرياض,AR RIYADH,1,riyadh,الرياض,Riyadh,0,0,0,0,0,1,0,0,شركة الأشغال العقارية,0,0,0,0,150.08,0,3,795000,0,0,27.5548,0,2,490000,0,0,0,هبيتات - الرياض,offplan_private_land,0,1,2021-10-27,710,projects,1,marketplaces,under_construction,apartment,,,0,16280
project_667,18.350852,42.746197,53,خميس مشيط,KHAMIS MUSHAYT,7,asir,عسير,"'Asir",0,1,167,0,0,1,0,0,عبدالرحمن الراشد وأولاده,0,0,0,0,569.725,0,5,901004,0,0,262.08,0,4,609909,0,0,0,خميس فيو - خميس مشيط,offplan_moh_land,0,1,2021-10-17,667,projects,1,marketplaces,under_construction,villa,,,0,39941
project_713,26.373444,50.105694,32,الدمام,AD DAMMAM,4,eastern_province,المنطقة الشرقية,Eastern Province,0,0,0,0,0,0,0,0,الشركة الوطنية للإسكان,0,0,0,0,874.91,0,1,1992170.07,0,0,673.07,0,1,1462917.64,0,0,0,أرض الراجحي - الدمام,lands_private_land,0,1,2021-10-13,713,projects,0,marketplaces,,land,,,0,12160
project_724,24.423694,39.688056,26,المدينة المنورة,AL MADINAH AL MUNAWWARAH,3,madinah,المدينة المنورة,Madinah,0,1,3,0,0,0,0,0,شركة دور العقارية للعقارات المحدودة,0,0,0,0,299.4,0,4,1050000,0,0,186.5,0,3,675000,0,0,0,جنان السكني - المدينة المنورة,offplan_private_land,0,1,2021-09-30,724,projects,1,marketplaces,under_construction,apartment,villa,,0,25278
