id,city_name_ar,city_name_en,region_name_ar,region_name_en,availability,available_units,available_auctions_units,bookable,developer_name,max_area,max_bed_room,max_price,min_area,min_bed_room,min_price,project_name,project_type,publish_date,construction_status,unit_type,views_count,location
project_212,البدائع,AL BADAI',القصيم,Qassim,1,5,0,0,لا يوجد مدخل,604.88,1,0.0,454.09,1,0.0,مخطط  ربيع البدائع - البدائع,lands_moh_land,2022-01-20,no entry,land,3590784,"25.95005,43.723738"
project_207,جدة,JEDDAH,مكة المكرمة,Makkah,0,0,0,1,لا يوجد مدخل,450.0,1,0.0,450.0,1,0.0,مخطط روضة التعاون - الخمرة,lands_moh_land,2022-01-20,no entry,land,187354,"21.338748,39.264257"
project_206,العرضية الجنوبية,AL 'ARDIA AL JANUBIA,مكة المكرمة,Makkah,0,0,0,1,لا يوجد مدخل,500.0,1,0.0,500.0,1,0.0,مخطط واحة العرضية - العرضيات,lands_moh_land,2022-01-20,no entry,land,282812,"19.389449,41.850462"
project_205,عفراء,'AFRA',عسير,'Asir,0,0,0,1,لا يوجد مدخل,1001.8106493379,1,0.0,400.0,1,0.0,مخطط شرفات الوادي - بلقرن,lands_moh_land,2022-01-20,no entry,land,167526,"19.706958,42.039368"
project_219,حريملاء,HURAYMILA,الرياض,Riyadh,0,0,0,1,لا يوجد مدخل,558.0,1,0.0,487.5,1,0.0,مخطط شرفات - حريملاء,lands_moh_land,2022-01-20,no entry,land,84464,"25.107644,46.186212"
project_216,ابها,ABHA,عسير,'Asir,0,0,0,1,لا يوجد مدخل,569.976479147407,1,0.0,454.866274251684,1,0.0,مخطط نسيم أبها - أبها,lands_moh_land,2022-01-20,no entry,land,584139,"18.358569,42.526731"
project_1027,الرياض,AR RIYADH,الرياض,Riyadh,1,108,0,1,بن جارالله,362.036,4,1471409.0,249.594,4,973253.0,أزيان نمار - الرياض,offplan_moh_land,2022-07-03,under_construction,villa,45195,"24.566289,46.676295"
project_220,القريات,AL QURAYYAT,الجوف,Jawf,0,0,0,1,لا يوجد مدخل,538.48,1,0.0,438.04,1,0.0,مخطط النخيل - القريات,lands_moh_land,2022-01-20,no entry,land,8466,"31.293095,37.342182"
project_214,حوطة بني تميم,HAWTAT BANI TAMIM,الرياض,Riyadh,0,0,0,1,لا يوجد مدخل,1365.0,1,0.0,622.03,1,0.0,مخطط منازل الحوطة - حوطة بني تميم,lands_moh_land,2022-01-20,no entry,land,4323,"23.512205,46.89964"
project_217,سميراء,SIMIRA',حائل,Ha'il,1,1,0,1,لا يوجد مدخل,597.924,1,0.0,476.619,1,0.0,مخطط الازدهار - سميراء,lands_moh_land,2022-01-20,no entry,land,9524,"26.511051,42.114135"
project_225,المجاردة,AL MAJARDAH,عسير,'Asir,0,0,0,1,لا يوجد مدخل,550.0,1,0.0,497.5,1,0.0,مخطط العبير - عسير,lands_moh_land,2022-01-20,no entry,land,173686,"19.1067,41.857862"
project_228,الحريق (الحريق),AL HARIQ,الرياض,Riyadh,1,4,4,0,لا يوجد مدخل,519.88,1,0.0,479.33,1,0.0,مخطط منازل الزهور - الحريق,lands_moh_land,2022-01-20,no entry,land,10617,"23.607434,46.490155"
project_238,البكيرية,AL BUKAYRIYAH,القصيم,Qassim,0,0,0,1,لا يوجد مدخل,750.0,1,0.0,575.5,1,0.0,مخطط إسكان البكيرية - البكيرية,lands_moh_land,2022-01-20,no entry,land,12166,"26.177791,43.612227"
project_236,سراة عبيدة,SARAT ABIDAH,عسير,'Asir,0,0,0,1,لا يوجد مدخل,580.722927714819,1,0.0,472.375871797447,1,0.0,مخطط الروابي - سراة عبيدة,lands_moh_land,2022-01-20,no entry,land,131841,"18.025902,43.152436"
project_237,المدينة المنورة,AL MADINAH AL MUNAWWARAH,المدينة المنورة,Madinah,1,2,0,0,لا يوجد مدخل,550.0,1,0.0,500.0,1,0.0,مخطط الشروق -  المدينة المنورة,lands_moh_land,2022-01-20,no entry,land,10888216,"24.469556,39.807306"
project_374,ابها,ABHA,عسير,'Asir,0,0,0,1,لا يوجد مدخل,752.991499582852,1,0.0,393.055892156418,1,0.0,مخطط روابي أبها - أبها,lands_moh_land,2022-01-20,no entry,land,1054049,"18.343258,42.519739"
project_241,عنيزة,UNAYZAH,القصيم,Qassim,0,0,0,1,لا يوجد مدخل,714.45,1,0.0,450.0,1,0.0,مخطط آفاق الصفا - عنيزة,lands_moh_land,2022-01-20,no entry,land,1387225,"26.134406,44.05993"
